Mid,Date,Opponent,Event,Leg,Player,Won,Darts,CheckoutValue,StartScore
OAtVYb7n_1755543980143,2025-08-18,Alex Boag-Munroe,Dartsmatt Development Tour #10,2,Opponent,0,,,501
OAtVYb7n_1755543980143,2025-08-18,Alex Boag-Munroe,Dartsmatt Development Tour #10,2,You,1,41,40,501
OAtVYb7n_1755543980143,2025-08-18,Alex Boag-Munroe,Dartsmatt Development Tour #10,3,Opponent,1,41,5,501
OAtVYb7n_1755543980143,2025-08-18,Alex Boag-Munroe,Dartsmatt Development Tour #10,3,You,0,,,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,1,Opponent,0,,,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,1,You,1,43,4,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,2,Opponent,1,32,16,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,2,You,0,,,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,3,Opponent,1,85,2,501
AE2atecd_1756147873244,2025-08-25,Lander Valentin,Dartsmatt Development Tour #11,3,You,0,,,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,1,You,1,34,40,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,1,Opponent,0,,,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,2,You,0,,,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,2,Opponent,1,52,2,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,3,You,0,,,501
JPdpIrvd_1756146353878,2025-08-25,Richard Harris,Dartsmatt Development Tour #11,3,Opponent,1,37,16,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,1,You,1,48,35,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,1,Opponent,0,,,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,2,You,0,,,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,2,Opponent,1,41,4,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,3,You,0,,,501
awDIzvO6_1756150708624,2025-08-25,Kevin Newman,Dartsmatt Development Tour #11,3,Opponent,1,44,10,501
kQtmoRo0_1756149858605,2025-08-25,Alexandru 🇷🇴,Dartsmatt Development Tour #11,1,You,0,,,501
kQtmoRo0_1756149858605,2025-08-25,Alexandru 🇷🇴,Dartsmatt Development Tour #11,1,Opponent,1,48,4,501
kQtmoRo0_1756149858605,2025-08-25,Alexandru 🇷🇴,Dartsmatt Development Tour #11,2,You,0,,,501
kQtmoRo0_1756149858605,2025-08-25,Alexandru 🇷🇴,Dartsmatt Development Tour #11,2,Opponent,1,26,35,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,1,You,0,,,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,1,Opponent,1,32,35,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,2,You,0,,,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,2,Opponent,1,44,4,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,3,You,0,,,501
gVWtR4r5_1758329370561,2025-09-19,Shaun,,3,Opponent,1,24,20,501
t32cxhp4_1758307129662,2025-09-19,Mister Blue (cam only),,1,You,0,,,501
