Date,Opponent,Event,Legs_You,Legs_Opp,Your_3Dart_Avg,Your_First9,Your_Checkout_Attempts,Your_Legs_Won,Your_Checkout%,Rolling 3-Dart (8),Rolling First 9 (8),Rolling Checkout % (8),Cumulative Checkout %,170+,140+,100+,60+
2025-08-08,Wayne Jones,Online Nakka,0,2,37.81,38.67,0,0,5.97%,#REF!,#REF!,#REF!,#DIV/0!,,,,
2025-08-08,Dawid Kopelciw,DM Cardboard #7,2,0,40.62,55.5,27,2,7.40%,#REF!,#REF!,#REF!,7.41%,,,,
2025-08-08,Neil Moore,DM Cardboard #7,1,2,31.68,28.33,13,1,7.70%,#REF!,#REF!,#REF!,7.50%,,,,
2025-08-08,Alex Boag-Munroe,DM Cardboard #7,2,1,33.47,39.11,36,2,5.60%,#REF!,#REF!,#REF!,6.58%,,,,
2025-08-08,wayne green,DM Cardboard #7,0,2,30.84,36.33,26,0,0%,#REF!,#REF!,#REF!,4.90%,,,,
2025-08-17,Fabian Beltran,Online Nakka,0,2,37.17,38.33,3,0,0,#REF!,#REF!,#REF!,4.76%,,,,
2025-08-17,Dinky Evns,Online Nakka,0,2,34.15,33.5,14,0,0,35.10571429,38.53857143,3.81%,4.20%,,,,
2025-08-18,"Alexandru ""Alexcst""",DM Dev #10,0,2,32.9,34.17,0,0,5.85%,34.83,37.9925,4.07%,4.20%,,,,
2025-08-18,Kelvin Langley,DM Dev #10,2,0,38.54,25,14,2,14.30%,34.92125,36.28375,5.11%,5.26%,,,,
2025-08-18,Alex Boag-Munroe,DM Dev #10,1,2,39.98,34.44,14,1,7.10%,34.84125,33.65125,5.07%,5.44%,,,,
2025-08-25,Richard Harris,DM Dev #11,1,2,36.12,31.33,27,1,3.70%,35.39625,34.02625,4.57%,5.17%,,,,
2025-08-25,Lander Valentin,DM Dev #11,1,2,25.26,49.33,52,1,1.90%,34.37,35.30375,4.11%,4.42%,,,,
2025-08-25,"Alexandru ""Alexcst""",DM Dev #11,0,2,33.75,37.33,14,0,0,34.73375,35.42875,4.11%,4.17%,,,,
2025-08-25,Kevin Newman,DM Dev #11,1,2,33.05,43.22,25,1,4%,34.21875,36.04,4.61%,4.15%,,,,
2025-09-19,Mister Blue (cam only),Online Nakka,3,1,35.96,37.42,29,3,10.30%,34.445,36.53,5.89%,4.76%,,,,
2025-09-19,Shaun,Online Nakka,0,3,37.41,32.67,15,0,0,35.00875,36.3425,5.16%,4.53%,,,,
2025-09-20,Jack Daffin,DM Div 4 Fall,3,6,35.29,35.56,59,3,5.10%,35.29,35.56,5.10%,4.62%,,,,
2025-09-20,Dawid Kopelciw,DM Div 4 Fall,4,6,35.42,45.33,74,4,5.40%,35.355,40.445,5.25%,4.75%,,,,
2025-09-29,Kevin Newman,DM Dev #16,2,0,27.08,41.67,44,2,4.50%,32.59666667,40.85333333,5.00%,4.73%,,,,
2025-09-29,Braden Hinely,DM Dev #16,2,0,39.55,52.5,12,2,16.70%,34.335,43.765,7.93%,5.02%,,,,
2025-09-29,Tony Bennett,DM Dev #16,0,2,37.29,53.5,3,0,0.00%,34.926,48.2425,6.34%,4.99%,,,,
2025-09-29,Alex Boag-Munroe,DM Dev #16,1,3,39.99,53.5,18,1,5.60%,38.975,47.01,6.22%,5.01%,,,,
2025-10-05,wayne green,DM Div 4 Fall,1,6,37.64,37.05,18,1,5.60%,38.57125,44.31875,6.13%,5.03%,,,,
2025-10-06,Alex Boag-Munroe,DM Dev #17,0,2,41.26,48.33,12,0,0.00%,36.69,45.93,5.36%,4.92%,,,,
2025-10-06,Tony Bennett,DM Dev #17,1,2,36.72,43.56,11,1,9.10%,36.86875,46.93,5.86%,5.00%,,,,
2025-10-06,Lander Valentin,DM Dev #17,0,2,44.5,55.83,8,0,0.00%,38.00375,48.2425,5.19%,4.93%,,,,
2025-10-06,Edwin Iżykowski,DM Dev #17,1,2,30.87,49,26,1,3.80%,38.4775,49.15875,5.10%,4.88%,,,,
2025-10-06,Alex Boag-Munroe,DM Dev #17,3,1,41.08,45.17,31,3,9.70%,38.66875,48.2425,4.23%,5.12%,,,,
2025-10-06,Ian Evans,DM Dev #17,0,2,39.74,37.5,5,0,0.00%,38.975,46.2425,4.23%,5.08%,,,,
2025-10-02,Julie York,DM Div 4 Fall,0,6,36.76,38.11,30,0,0.00%,38.57125,44.31875,3.53%,4.85%,,,,
2025-10-03,Leon Taylor,DM Dev #18,0,2,41.95,37.17,0,0,4.69%,39.11,44.33375,3.41%,4.85%,,,,
2025-10-03,Braden Hinely,DM Dev #18,0,2,37.52,39.5,3,0,0.00%,38.6425,43.23,3.41%,4.83%,,,,
2025-10-03,Michael Lightwood-Rule,DM Dev #18,1,2,35.45,38.22,5,1,20.00%,38.48375,42.5625,4.77%,4.94%,,,,
2025-10-03,Braden Hinely,DM Dev #18,0,2,28.82,30.5,16,0,0.00%,36.52375,39.39625,4.77%,4.82%,,,,
2025-10-06,Tony Bennett,DM Dev #17,2,1,38.51,47.11,31,2,6.50%,37.47875,39.16,5.11%,4.90%,,,,
2025-10-06,Lander Valentin,DM Dev #17,2,0,44.5,62.33,20,2,10.00%,37.90625,41.305,5.15%,5.03%,,,,
2025-10-06,Edwin Iżykowski,DM Dev #17,2,1,33.36,47.11,43,2,4.70%,37.10875,42.50625,5.74%,5.01%,,,,
2025-10-06,Ian Evans,DM Dev #17,2,0,42.34,33,5,2,40.00%,37.80625,41.8675,10.74%,5.24%,,,,
2025-10-07,Tony Bennett,DM Dev #19,0,2,34.68,42.33,6,0,0.00%,36.8975,42.5125,10.15%,5.20%,,,,
2025-10-08,Tony Bennett,DM Div 4 Fall,3,6,36.37,43.56,73,3,4.10%,36.75375,43.02,10.66%,5.10%,,,,
2025-10-13,Leon Taylor,DM Dev #18,2,0,50.95,60.83,6,2,33.30%,38.69125,45.84625,12.33%,5.30%,,,,
2025-10-13,Braden Hinely,DM Dev #18,2,0,39.55,38.83,12,2,16.70%,40.0325,46.8875,14.41%,5.45%,,,,
2025-10-13,Michael Lightwood-Rule,DM Dev #18,2,1,42.83,48.44,24,2,8.30%,40.5725,47.05375,14.64%,5.53%,,,,
2025-10-20,Braden Hinely,DM Dev #19,2,0,28.9,53.5,38,2,5.30%,38.6225,45.95,14.05%,5.52%,,,,
2025-10-20,Tony Bennett,DM Dev #19,2,0,45.55,56.17,16,2,12.50%,40.14625,47.0825,15.03%,5.64%,,,,
2025-10-22,Ian Evans,DM Div 4 Fall,2,6,37.48,34.79,26,2,7.70%,39.53875,47.30625,10.99%,5.69%,,,,
2025-10-23,Dave Duncan,DM Div 4 Fall,0,6,35.53,42.17,36,0,0.00%,39.645,47.28625,10.99%,5.49%,,,,
2025-10-27,Dave Duncan,DM Dev #20,0,2,34.96,50.67,19,0,0.00%,39.46875,48.175,10.48%,5.39%,,,,
2025-10-27,Alex Boag-Munroe,DM Dev #20,0,2,38.63,34.83,8,0,0.00%,37.92875,44.925,6.31%,5.35%,,,,
2025-10-27,Tony Bennett,DM Dev #20,1,2,38.82,60.22,28,1,3.60%,37.8375,47.59875,4.68%,5.30%,,,,
2025-10-27,Dave Duncan,DM Dev #20,2,0,39.04,51.83,24,2,8.30%,37.36375,48.0225,4.68%,5.37%,,,,
2025-10-27,Alex Boag-Munroe,DM Dev #20,2,0,41.75,33.67,8,2,25.00%,38.97,45.54375,7.14%,5.51%,,,,
2025-10-27,Tony Bennett,DM Dev #20,2,1,38.11,49.11,44,2,4.50%,38.04,44.66125,6.14%,5.47%,,,,
2025-11-03,Michael Lightwood-Rule,DM Dev #21,1,2,42.32,55.22,28,1,3.60%,38.645,47.215,5.63%,5.43%,,,,
2025-11-03,Kevin Newman,DM Dev #21,0,2,36.62,41.67,14,0,0.00%,38.78125,47.1525,5.63%,5.36%,,,,
2025-11-03,Tony Bennett,DM Dev #21,2,1,34.21,42.56,33,2,6.10%,38.6875,46.13875,6.39%,5.38%,,,,
2025-11-03,Lander Valentin,DM Dev #21,1,3,37.88,48.33,20,1,5.00%,38.59375,47.82625,7.01%,5.38%,,,,
2025-11-03,Michael Lightwood-Rule,DM Dev #21,2,1,42.42,59.89,20,2,10.00%,39.04375,47.785,7.81%,5.45%,,,,
2025-11-03,Kevin Newman,DM Dev #21,2,0,38.05,36.5,14,2,14.30%,38.92,45.86875,8.56%,5.55%,,,,
2025-11-03,Tony Bennett,DM Dev #21,1,2,33.14,62.22,51,1,2.00%,37.84375,49.4375,5.69%,5.41%,,,,
2025-11-03,Lander Valentin,DM Dev #21,3,1,44.18,49.08,19,3,15.80%,38.6025,49.43375,7.10%,5.56%,,,,
2025-11-08,Kevin Newman,DM Div 4 Fall,5,5,32.26,41.57,115,5,4.30%,37.345,47.7275,7.19%,5.46%,,,,
